"model","feature","mean","std","coefficient_scaled","direction"
"ridge_regression_l2","intercept","","","0.6820831","准許比例同向"
"ridge_regression_l2","x_log_contract_price","16.39756482","3.82790186","-0.02492127","酌減比例同向"
"ridge_regression_l2","x_log_claimed_penalty","16.39224472","1.64675437","-0.07501585","酌減比例同向"
"ridge_regression_l2","x_claim_to_contract_ratio","1267.90164358","10042.22964434","-0.02476236","酌減比例同向"
"ridge_regression_l2","x_delay_days","210.078125","236.50061474","-0.07519768","酌減比例同向"
"ridge_regression_l2","x_penalty_per_delay_day","676898.29440152","1341789.57624059","-0.00584356","酌減比例同向"
"ridge_regression_l2","x_issue_owner_fault","0.875","0.33071891","0.03713948","准許比例同向"
"ridge_regression_l2","x_issue_contractor_fault","0.921875","0.26836819","0.00432985","准許比例同向"
"ridge_regression_l2","x_issue_extension_request","0.875","0.33071891","-0.04018687","酌減比例同向"
"ridge_regression_l2","x_issue_actual_damage_unclear","0.796875","0.40232479","0.01878109","准許比例同向"
"ridge_regression_l2","x_issue_partial_completion","1","1","0","接近零"
"ridge_regression_l2","x_issue_used_by_owner","0.5","0.5","-0.03365042","酌減比例同向"
"ridge_regression_l2","x_ai_issue_owner_fault","0.875","0.33071891","0.03713948","准許比例同向"
"ridge_regression_l2","x_ai_issue_contractor_fault","0.921875","0.26836819","0.00432985","准許比例同向"
"ridge_regression_l2","x_ai_issue_extension_request","0.875","0.33071891","-0.04018687","酌減比例同向"
"ridge_regression_l2","x_ai_issue_actual_damage_unclear","0.796875","0.40232479","0.01878109","准許比例同向"
"ridge_regression_l2","x_ai_issue_partial_completion","1","1","0","接近零"
"ridge_regression_l2","x_ai_issue_used_by_owner","0.5","0.5","-0.03365042","酌減比例同向"
"ridge_regression_l2","x_money_candidate_count","30.28125","6.11726233","0.06750068","准許比例同向"
"ridge_regression_l2","x_delay_candidate_count","11.984375","0.12401959","0.03006805","准許比例同向"
"lasso_regression_l1","intercept","","","0.6820831","准許比例同向"
"lasso_regression_l1","x_log_contract_price","16.39756482","3.82790186","-0.00425893","酌減比例同向"
"lasso_regression_l1","x_log_claimed_penalty","16.39224472","1.64675437","-0.07878684","酌減比例同向"
"lasso_regression_l1","x_claim_to_contract_ratio","1267.90164358","10042.22964434","-0.00709631","酌減比例同向"
"lasso_regression_l1","x_delay_days","210.078125","236.50061474","-0.06376407","酌減比例同向"
"lasso_regression_l1","x_penalty_per_delay_day","676898.29440152","1341789.57624059","0","接近零"
"lasso_regression_l1","x_issue_owner_fault","0.875","0.33071891","0.0222835","准許比例同向"
"lasso_regression_l1","x_issue_contractor_fault","0.921875","0.26836819","0","接近零"
"lasso_regression_l1","x_issue_extension_request","0.875","0.33071891","-0.03049917","酌減比例同向"
"lasso_regression_l1","x_issue_actual_damage_unclear","0.796875","0.40232479","0.00997349","准許比例同向"
"lasso_regression_l1","x_issue_partial_completion","1","1","0","接近零"
"lasso_regression_l1","x_issue_used_by_owner","0.5","0.5","-0.02464699","酌減比例同向"
"lasso_regression_l1","x_ai_issue_owner_fault","0.875","0.33071891","0.0222835","准許比例同向"
"lasso_regression_l1","x_ai_issue_contractor_fault","0.921875","0.26836819","0","接近零"
"lasso_regression_l1","x_ai_issue_extension_request","0.875","0.33071891","-0.03049917","酌減比例同向"
"lasso_regression_l1","x_ai_issue_actual_damage_unclear","0.796875","0.40232479","0.00997349","准許比例同向"
"lasso_regression_l1","x_ai_issue_partial_completion","1","1","0","接近零"
"lasso_regression_l1","x_ai_issue_used_by_owner","0.5","0.5","-0.02464699","酌減比例同向"
"lasso_regression_l1","x_money_candidate_count","30.28125","6.11726233","0.04726561","准許比例同向"
"lasso_regression_l1","x_delay_candidate_count","11.984375","0.12401959","0.02705622","准許比例同向"
